movieInfo,title,star,quote
"
                            导演: 刘镇伟 Jeffrey Lau   主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...;
                            1995 / 香港 中国大陆 / 喜剧 动作 爱情 奇幻 冒险 古装
                        ;
                                ;
                            ",大话西游之月光宝盒 / 西遊記第壹佰零壹回之月光寶盒 / 西游记101回月光宝盒  /  齐天大圣东游记,8.9,旷古烁今。
"
                            导演: 米洛斯·福尔曼 Miloš Forman   主演: 杰克·尼科尔森 Jack Nichols...;
                            1975 / 美国 / 剧情
                        ;
                                ;
                            ",飞越疯人院 / One Flew Over the Cuckoo's Nest / 飞越杜鹃窝  /  飞越喜鹊巢,9.0,自由万岁。
"
                            导演: 姜文 Wen Jiang   主演: 姜文 Wen Jiang / 香川照之 Teruyuki Kagawa /...;
                            2000 / 中国大陆 / 剧情 战争
                        ;
                                ;
                            ",鬼子来了 / Devils on the Doorstep,9.1,对敌人的仁慈，就是对自己残忍。
"
                            导演: 刘伟强 / 麦兆辉   主演: 刘德华 / 梁朝伟 / 黄秋生;
                            2002 / 香港 / 犯罪 悬疑 惊悚
                        ;
                                ;
                            ",无间道 / 無間道 / Infernal Affairs,8.9,香港电影史上永不过时的杰作。
"
                            导演: 弗洛里安·亨克尔·冯·多纳斯马 Florian Henckel von Donnersmarck   ...;
                            2006 / 德国 / 剧情 悬疑
                        ;
                                ;
                            ",窃听风暴 / Das Leben der Anderen / 他人的生活  /  别人的生活,9.1,别样人生。
"
                            导演: 李安 Ang Lee   主演: 苏拉·沙玛 Suraj Sharma / 拉菲·斯波 Rafe Spa...;
                            2012 / 美国 台湾 英国 加拿大 / 剧情 奇幻 冒险
                        ;
                                ;
                            ",少年派的奇幻漂流 / Life of Pi / 少年Pi的奇幻漂流  /  漂流少年Pi,9.0,瑰丽壮观、无人能及的冒险之旅。
"
                            导演: 詹姆斯·麦克特格 James McTeigue   主演: 娜塔丽·波曼 Natalie Portm...;
                            2005 / 美国 英国 德国 / 剧情 动作 科幻 惊悚
                        ;
                                ;
                            ",V字仇杀队 / V for Vendetta / V煞(港)  /  V怪客(台),8.8,一张面具背后的理想与革命。
"
                            导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 克里斯蒂安·贝尔 Christ...;
                            2008 / 美国 英国 / 剧情 动作 科幻 犯罪 惊悚
                        ;
                                ;
                            ",蝙蝠侠：黑暗骑士 / The Dark Knight / 蝙蝠侠前传2：黑暗骑士  /  黑暗骑士(台),8.9,无尽的黑暗。
"
                            导演: 黄东赫 Dong-hyuk Hwang   主演: 孔侑 Yoo Gong / 郑有美 Yu-mi Jeong ...;
                            2011 / 韩国 / 剧情
                        ;
                                ;
                            ",熔炉 / 도가니 / 无声呐喊(港)  /  漩涡,9.1,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
"
                            导演: 马丁·布莱斯 Martin Brest   主演: 阿尔·帕西诺 Al Pacino / 克里斯...;
                            1992 / 美国 / 剧情
                        ;
                                ;
                            ",闻香识女人 / Scent of a Woman / 女人香  /  女人的芳香,8.9,史上最美的探戈。
